ก.	kram0	gram;abbr. for กรัม
กรณีที่	kO:0ra0ni:0Ti:2	in case of
กรณีพิพาท	kO:0ra0ni:0Pi3Pa:t2	conflict;fight;battle;dispute;collision;CL: เรื่อง, เหตุ
กรณียกิจ	kO:0ra0ni:0ja0kit1	obligation;activities
กรณีย์	kO:0ra0ni:0	activity;business;affairs;duty
กรณีศึกษา	kO:0ra0ni:0sWk1sa:4	case study;CL: เรื่อง, กรณี
กรด	krot1	acid
กรดกำมะถัน	krot1kam0ma0Tan4	sulfuric acid
กรดดีออกซีไรโบนิวคลิอิก	krot1di:0O:k1si:0raj0bo:0niw0Kli3ik1	DNA
กรดน้ำมะนาว	krot1nam3ma0na:w0	citric acid
กรดน้ำส้ม	krot1nam3som2	acetic acid
กรดผลไม้	krot1Pon4la0ma:j3	Alpha Hydroxy Acid
กรดฟอสฟอริก	krot1fO:t3fO:3rik1	phosphoric acid
กรดมะนาว	krot1ma0na:w0	citric acid
กรดอะมิโน	krot1a0mi3no:0	amino acid
กรดไขมัน	krot1Kaj4man0	fatty acid
กรน	kron0	to snore
กรบูร	ka0ra0bu:n0	Cinnamomum camphora (Linn.) J.S.Presl
กรม	krom0	department;bureau;regiment of soldier;CL: กรม
กรมการ	krom0ka:n0	governmental administrative staff;CL: คณะ, ชุด
กรมการขนส่งทหารบก	krom0ka:n0Kon4soN1Ta0ha:n4bok1	Military Transportation Department
กรมการขนส่งทหารเรือ	krom0ka:n0Kon4soN1Ta0ha:n4rW:a0	Naval Transportation Department
กรมการขนส่งทางบก	krom0ka:n0Kon4soN1Ta:N0bok1	Department of Land Transport
กรมการค้าต่างประเทศ	krom0ka:n0Ka:3ta:N1pra0Te:t2	Department of Foreign Trade
กรมการค้าภายใน	krom0ka:n0Ka:3Pa:j0naj0	Department of Internal Trade
กรมการจัดหางาน	krom0ka:n0cat1ha:4Na:n0	Department of Employment
กรมการบินพาณิชย์	krom0ka:n0bin0Pa:0nit3	Department of Aviation
กรมการปกครอง	krom0ka:n0pok1KrO:N0	Department of Local Administration
กรมการประกันภัย	krom0ka:n0pra0kan0Paj0	Department of Insurance
กรมการผังเมือง	krom0ka:n0PaN4mW:aN0	Department of Town and Country Planning
กรมการฝึกหัดครู	krom0ka:n0fWk1hat1Kru:0	Department of Teacher Education
กรมการพัฒนาชุมชน	krom0ka:n0Pat3Ta0na:0Cum0Con0	Department of Community Development
กรมการรักษาดินแดน	krom0ka:n0rak3sa:4din0dE:n0	Department of Territorial Defense
กรมการศาสนา	krom0ka:n0sa:t1sa0na:4	Department of Religious Affairs
กรมการศึกษานอกโรงเรียน	krom0ka:n0sWk1sa:4nO:k2ro:N0ri:an0	Department of Non-Formal Education
กรมการอาสารักษาดินแดน	krom0ka:n0a:0sa:4rak3sa:4din0dE:n0	Department of Territorial Defense
กรมการแพทย์	krom0ka:n0PE:t2	Department of Medical Services
กรมควบคุมความประพฤติ	krom0Ku:ap2Kum0Kwa:m0pra0PrWt3	Department of Probation
กรมควบคุมมลพิษ	krom0Ku:ap2Kum0mon0la0Pit3	Pollution Control Department
กรมควบคุมโรคติดต่อ	krom0Ku:ap2Kum0ro:k2tit1tO:1	Department of Communicable Disease Control
กรมคุมประพฤติ	krom0Kum0pra0PrWt3	Department of Probation
กรมชลประทาน	krom0Con0la0pra0Ta:n0	Department of Irrigation
กรมตรวจบัญชีสหกรณ์	krom0tru:at1ban0Ci:0sa0ha0kO:n0	Department of Cooperative Auditing
กรมตำรวจ	krom0tam0ru:at1	Royal Thai Police Department
กรมทรัพยากรธรณี	krom0sap3Pa0ja:0kO:n0TO:0ra0ni:0	Department of Mineral Resources
กรมทรัพย์สินทางปัญญา	krom0sap3sin4Ta:N0pan0ja:0	Department of Intellectual Property
กรมทะเบียนการค้า	krom0Ta0bi:an0ka:n0Ka:3	Department of Commercial Registration
กรมทางหลวง	krom0Ta:N0lu:aN4	Department of Highways
กรมที่ดิน	krom0Ti:2din0	Department of Lands
กรมธนารักษ์	krom0Ta0na:0rak3	Treasury Department
กรมธรรม์	krom0ma0Tan0	insurance policy;contract;document binding;CL: ฉบับ
กรมธรรม์ประกันภัย	krom0ma0Tan0pra0kan0Paj0	casualty insurance policy;property insurance policy;insurance policy;insurance;CL: ฉบับ
กรมบังคับคดี	krom0baN0Kap3Ka0di:0	Legal Execution Department
กรมบัญชีกลาง	krom0ban0Ci:0kla:N0	Comptroller General's Department
กรมประชาสงเคราะห์	krom0pra0Ca:0soN4KrO3	Department of Public Welfare
กรมประชาสัมพันธ์	krom0pra0Ca:0sam4Pan0	Public Relations Department
กรมประมง	krom0pra0moN0	Department of Fisheries
กรมปศุสัตว์	krom0pa0su1sat1	Department of Livestock Development
กรมป่าไม้	krom0pa:1ma:j3	Department of Forestry
กรมพระธรรมนูญ	krom0Pra0Tam0ma0nu:n0	The Judge Advocate General's Department
กรมพลศึกษา	krom0Pa0la0sWk1sa:4	Department of Physical Education
กรมพัฒนาที่ดิน	krom0Pat3Ta0na:0Ti:2din0	Land Development Department
กรมพัฒนาฝีมือแรงงาน	krom0Pat3Ta0na:0fi:4mW:0rE:N0Na:n0	Department of Skill Development
กรมพัฒนาและส่งเสริมพลังงาน	krom0Pat3Ta0na:0lE3soN1sx:m4Pa0laN0Na:n0	Department of Energy Development and Promotion
กรมพิธีการทูต	krom0Pi3Ti:0ka:n0Tu:t2	Department of Protocol
กรมยุโรป	krom0ju3ro:p1	Department of European Affairs
กรมราชทัณฑ์	krom0ra:t2Ca0Tan0	Department of Corrections
กรมราชองครักษ์	krom0ra:t2Ca0oN0Ka0rak3	Royal Aide de Camp Department
กรมราชองครักษ์กระทรวงกลาโหม	krom0ra:t2Ca0oN0Ka0rak3kra0su:aN0ka0la:0ho:m4	Royal Aide-de-Camp Department Ministry of Defence
กรมวิชาการ	krom0wi3Ca:0ka:n0	Department of Curriculum and Instruction Development
กรมวิชาการเกษตร	krom0wi3Ca:0ka:n0ka0se:t1	Department of Agriculture
กรมวิทยาศาสตร์การแพทย์	krom0wit3Ta0ja:0sa:t1ka:n0PE:t2	Department of Medical Science
กรมวิทยาศาสตร์บริการ	krom0wit3Ta0ja:0sa:t1bO:0ri0ka:n0	Department of Science Service
กรมวิเทศสหการ	krom0wi3Te:t2sa0ha0ka:n0	Department of Technical and Economic Cooperation
กรมศิลปากร	krom0sin4la0pa:0kO:n0	Fine Arts Department
กรมศุลกากร	krom0sun4la0ka:0kO:n0	Customs Department
กรมสนธิสัญญาและกฎหมาย	krom0son4Ti3san4ja:0lE3kot1ma:j4	Department of Treaties and Legal Affairs
กรมสรรพสามิต	krom0sap1Pa0sa:4mit3	Excise Department
กรมสรรพากร	krom0san4Pa:0kO:n0	Revenue Department
กรมสวัสดิการและคุ้มครองแรงงาน	krom0sa0wat1di1ka:n0lE3Kum3KrO:N0rE:N0Na:n0	Department of Labour Protection and Welfare
กรมสามัญศึกษา	krom0sa:4man0sWk1sa:4	Department of General Education
กรมสารนิเทศ	krom0sa:4ra0ni3Te:t2	Department of Information
กรมสุขภาพจิต	krom0suk1Ka0Pa:p2cit1	Department of Mental Health
กรมส่งเสริมการส่งออก	krom0soN1sx:m4ka:n0soN1O:k1	Department of Export Promotion
กรมส่งเสริมการเกษตร	krom0soN1sx:m4ka:n0ka0se:t1	Department of Agricultural Extension
กรมส่งเสริมคุณภาพสิ่งแวดล้อม	krom0soN1sx:m4Kun0na0Pa:p2siN1wE:t2lO:m3	Department of Environmental Quality Promotion
กรมส่งเสริมสหกรณ์	krom0soN1sx:m4sa0ha0kO:n0	Cooperatives Promotion Department
กรมส่งเสริมอุตสาหกรรม	krom0soN1sx:m4ut1sa:4ha0kam0	Department of Industrial Promotion
กรมองค์การระหว่างประเทศ	krom0oN0ka:n0ra0wa:N1pra0Te:t2	Department of International Organizations
กรมอนามัย	krom0a0na:0maj0	Department of Health
กรมอาชีวศึกษา	krom0a:0Ci:0wa0sWk1sa:4	Department of Vocational Education
กรมอาเซียน	krom0a:0si:an2	Department of ASEAN Affairs
กรมอุตุนิยมวิทยา	krom0u1tu1ni3jom0wit3Ta0ja:0	Meteorological Department
กรมอเมริกาและแปซิฟิกใต้	krom0a0me:0ri3ka:0lE3pE:0si3fik1ta:j2	Department of American and South Pacific Affairs
กรมเกรียม	krom0kri:am0	grieved
กรมเจ้าท่า	krom0ca:w2Ta:2	Harbour Department
กรมเศรษฐกิจการพาณิชย์	krom0se:t1Ta0kit1ka:n0Pa:0nit3	Department of Business Economics
กรมเอเซียตะวันออก	krom0e:0si:a0ta0wan0O:k1	Department of East Asian Affairs
กรมเอเซียใต้	krom0e:0si:a0ta:j2	Department of South Asian, Middle East and African Affairs
กรมโยธาธิการ	krom0jo:0Ta:0Ti3ka:n0	Public Works Department
กรมโรงงานอุตสาหกรรม	krom0ro:N0Na:n0ut1sa:4ha0kam0	Department of Industrial Works
กรมไปรษณีย์โทรเลข	krom0praj0sa0ni:0To:0ra0le:k2	Post and Telegraph Department
กรรชิง	kan0CiN0	long-handled umbrella
กรรณ	kan0	ear
กรรณิการ์	kan0ni3ka:0	night jasmine;Nyctanthes arbortristis Linn.;CL: ดอก
กรรตุ	kat1tu1	doer;performer;actor
กรรตุการก	kat1tu1ka:0rok3	nominative case;subjective case
กรรตุวาจก	kat1tu1wa:0cok1	active voice
กรรพิธี	kan0Pi3Ti:0	rite
กรรภิรมย์	kan0Pi3rom0	five-terraced umbrella
กรรม	kam0	object;sin;wrong-doing;badness;deed;action;performance
กรรมกร	kam0ma0kO:n0	unskilled laborer;worker;CL: คน
กรรมการ	kam0ma0ka:n0	committee;referee;judge;umpire;CL: คน, คณะ
กรรมการก	kam0ma0ka:0rok3	objective case;accusative case in Thai grammar
กรรมการตัดสิน	kam0ma0ka:n0tat1sin4	umpire;referee;CL: คน
กรรมการผู้จัดการ	kam0ma0ka:n0Pu:2cat1ka:n0	managing director;CL: คน
กรรมการหญิง	kam0ma0ka:n0jiN4	female committee
กรรมการิณี	kam0ma0ka:0ri3ni:0	female committee;CL: คน, คณะ
กรรมฐาน	kam0ma0Ta:n4	meditation;contemplation
กรรมตามทัน	kam0ma0ta:m0Tan0	retribution
กรรมตามสนอง	kam0ma0ta:m0sa0nO:N4	retribution;nemesis
กรรมบูชา	kam0ma0bu:0Ca:0	rite
กรรมพันธุ์	kam0ma0Pan0	heredity;inheritance;congenital
กรรมพิธี	kam0ma0Pi3Ti:0	rite;ritual;ceremony;CL: พิธี
กรรมวาจก	kam0ma0wa:0cok1	passive voice
กรรมวาจา	kam0ma0wa:0ca:0	declaration
กรรมวิธี	kam0ma0wi3Ti:0	process;method;means;CL: วิธี, ขั้น
กรรมวิบาก	kam0wi3ba:k1	retribution
กรรมสิทธิ์	kam0ma0sit1	ownership;proprietary right;copyright
กรรมสิทธิ์รวม	kam0ma0sit1ru:am0	mutual right of ownership
กรรมหนัก	kam0ma0nak1	misery from bad deeds
กรรมาชีพ	kam0ma:0Ci:p2	proletariat;the class of wage earners;laborer
กรรมาธิการ	kam0ma:0Ti3ka:n0	commissioner;committee
กรรมเวร	kam0we:n0	fate;vile spawn;evil creature;retribution
กรรมเวรา	kam0we:0ra:0	fate
กรรเชียง	kan0Ci:aN0	to paddle;oar;paddle;backstroke
กรรโชก	kan0Co:k2	to extort;to blackmail;to threaten
กรรไกร	kan0kraj0	scissors;CL: เล่ม
กรรไตร	kan0traj0	scissors
กรวด	kru:at1	pebble;grit;gravel;coarse sand;CL: เม็ด, ก้อน;to pour;to pour ceremonial water
กรวดทราย	kru:at1sa:j0	gravel;pebble;grit;coarse sand;CL: เม็ด, ก้อน
กรวดน้ำ	kru:at1na:m3	to pour water;to pour ceremonial water
กรวย	kru:aj0	cone;funnel;CL: กรวย, อัน
กรวยเชิง	kru:aj0Cx:N0	cone-shaped design;CL: กรวย, อัน
กรสุทธิ์	ka0ra0sut1	cleansing of hands before the Brahmin rite
กรอ	krO:0	to spin (the yarn);to grind;wind;twist
กรอ.	krom0ro:N0Na:n0ut1sa:4ha0kam0	Department of Industrial Works;abbr. for กรมโรงงานอุตสาหกรรม
กรอก	krO:k1	to pour;to rinse (the bottle);to gargle (the throat or mouth);to fill in;to fill up
กรอกแกรก	krO:k1krE:k1	rustlingly
กรอง	krO:N0	to string (garland-flower);to bead (into necklace);to braid;to weave;to percolate;to strain;to sift;to filter;to sieve
กรอด	krO:t1	leanly;lankly;scrawnily;gauntly;haggardly;thin
กรอบ	krO:p1	frame;border;margin;CL: กรอบ;convention;pattern;set of rules;crisp;brittle;fragile;cracking
กรอบความคิด	krO:p1Kwa:m0Kit3	concept;idea
กรอบประตู	krO:p1pra0tu:0	door frame
กรอบรูป	krO:p1ru:p2	picture frame;portrait frame;CL: กรอบ, อัน
กรอบหน้า	krO:p1na:2	forehead's ornament;CL: กรอบ
กรอบเช็ดหน้า	krO:p1Cet3na:2	frame;window or door frame;CL: วง
กรอบแกรบ	krO:p1krE:p1	rustlingly;cracking sound
กรอม	krO:m0	to cover;to overlay
กรอมใจ	krO:m0caj0	to grieve
กระ	kra1	hawksbill turtle;hawk turtle;sea turtle;Eretmochelys Imbricata;CL: ตัว;freckle;spot;CL: ดวง, แผ่น, จุด
กระคน	kra0Kon0	front-strap around the elephants neck
กระง่องกระแง่ง	kra0NON2kra0NEN2	falteringly;swayingly;unsteadily
กระง่อนกระแง่น	kra0NOn2kra0NEn2	infirmly;shakily;feebly
กระจก	kra0cok1	pane of glass;CL: แผ่น
กระจกตา	kra0cok1ta:0	cornea
กระจกนูน	kra0cok1nu:n0	convex;convex lens;convex mirror
กระจกฝ้า	kra0cok1fa:2	ground glass;frosted glass;CL: บาน
กระจกรถ	kra0cok1rot3	windshield;windscreen;CL: บาน
กระจกสะท้อนแสง	kra0cok1sa0TO:n3sE:N4	solartag;CL: แผ่น
กระจกสี	kra0cok1si:4	stained glass
กระจกส่อง	kra0cok1sON1	mirror;looking glass;hand-mirror;reflector;CL: บาน
กระจกหน้ารถ	kra0cok1na:2rot3	windscreen;windshield;CL: บาน
กระจกหน้ารถยนต์	kra0cok1na:2rot3jon0	wind shield;CL: อัน
กระจกหลัง	kra0cok1laN4	rear window
กระจกหุง	kra0cok1huN4	stained glass;coloured thin and quadrangular glass;CL: บาน
กระจกเงา	kra0cok1Naw0	mirror;looking glass;CL: บาน
กระจกเว้า	kra0cok1waw3	concave lens
กระจง	kra0coN0	chevrotain;mouse deer;CL: ตัว
กระจอก	kra0cO:k1	sparrow;genus Passer;CL: ตัว;shoddy;inferior;poor;low;base;bad;cheap
กระจอกงอกง่อย	kra0cO:k1NO:k2NOj2	poor;beggarly;humble;shabby;inferior
กระจอกเทศ	kra0cO:k1Te:t2	ostrich;CL: ตัว
กระจองอแง	kra0cO:0NO:0NE:0	vociferously;blubber;noisy;loud;boisterous
กระจะ	kra0ca1	clear;obvious
กระจัด	kra0cat1	to disperse;to spread;to separate;to keep apart
กระจัดกระจาย	kra0cat1kra0ca:j0	to scatter;to disperse;to spread
กระจัดพลัดพราย	kra0cat1Plat3Pra:j0	to scatter;to spread;to disperse;to separate
กระจับ	kra0cap1	water chestnut;chestnut;horn chestnut;Trapa bicornis Obs.;CL: ตัว, ฝัก
กระจับปิ้ง	kra0cap1piN2	a gold or silver genital cover of a girl
กระจับปี่	kra0cap1pi:1	four-stringed lute;CL: คัน
กระจาด	kra0ca:t1	basket;wicker basket;CL: ใบ, ลูก
กระจาบ	kra0ca:p1	weaverbird;CL: ตัว
กระจาย	kra0ca:j0	to spread;to expand;to disseminate
กระจายข่าว	kra0ca:j0Ka:w1	to spill the beans;to disclose
กระจายตัว	kra0ca:j0tu:a0	to split
กระจายอำนาจ	kra0ca:j0am0na:t2	to decentralize;to distribute (administrative power)
กระจายเชื้อ	kra0ca:j0CW:a3	to spread
กระจายเสียง	kra0ca:j0si:aN4	to broadcast;to transmit
กระจายแถว	kra0ca:j0TE:w4	to deploy
กระจายแสง	kra0ca:j0sE:N4	to give out light
กระจิด	kra0cit1	tiny
กระจิดริด	kra0cit1rit3	tiny
กระจิบ	kra0cip1	long-tailed tailorbird;Orthotomus sutorius;CL: ตัว
กระจิริด	kra0ci1rit3	tiny;little;small;negligible;insignificant;trivial
กระจิ๋ว	kra0ciw4	tiny
กระจิ๋วหลิว	kra0ciw4liw4	tiny
กระจุก	kra0cuk1	tuft;cluster;clump;bunch;pinch
กระจุกกระจิก	kra0cuk1kra0cik1	trifling;fragmentary;piecemeal;trivial
กระจุกกระจุย	kra0cuk1kra0cuj0	messily;jumblingly;muddlingly
กระจุบ	kra0cup1	lamp holder
กระจุบกระจิบ	kra0cup1kra0cip1	miscellaneously;daintily;betweentimes
กระจุย	kra0cuj0	dispersedly;scatteredly;to collapse;to fall apart
กระจุยกระจาย	kra0cuj0kra0ca:j0	messily
กระจุ๊บ	kra0cup3	lamp holder;electric light socket;CL: อัน
กระจุ๋งกระจิ๋ง	kra0cuN4kra0ciN4	tete-a-tete;in an intimate manner
กระจุ๋มกระจิ๋ม	kra0cum4kra0cim4	delicate;lovely;dainty;cute
กระจู้	kra0cu:2	bottle-shaped eel-trap;CL: ใบ, ลูก
กระจู๋	kra0cu:4	penis
กระจู๋กระจี๋	kra0cu:4kra0ci:4	to coo;to speak in whispers
กระจ่า	kra0ca:1	dipper
กระจ่าง	kra0ca:N1	clear;evident;obvious;to brighten;to lighten
กระจ่างแจ้ง	kra0ca:N1cE:N2	bright;clear;glorious
